city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
重庆,湖广会馆,B0017822LZ,清代古建筑群，移民文化展示，了解重庆历史文化根源,历史文化,,29.557921,106.586915,4.7,09:00,18:00,,1.0,2.5,30
重庆,八一路好吃街,B0G2XXRPD4,重庆著名小吃街，汇集重庆小面、酸辣粉等地道美食。,休闲体验,,29.556310,106.577448,4.8,10:00,23:00,,1.0,2.5,0
重庆,重庆两江夜游,B0H3S7N77H,乘船夜游长江与嘉陵江，欣赏两岸璀璨夜景的经典项目。,休闲体验,,29.560000,106.580000,4.5,19:30,21:30,,0.5,2.0,158
重庆,洪崖洞民俗风貌区,B0FFG8V7SH,重庆标志性建筑群，吊脚楼风格，夜景璀璨，体验山城魅力,历史文化,,29.562204,106.579027,4.8,09:00,23:00,,1.0,2.5,0
重庆,南山一棵树景区,B0FFGAMI8G,重庆最佳观景台，360度俯瞰渝中半岛全景，欣赏山城夜景绝佳地点。,自然风光,,29.545316,106.602505,4.6,09:00,23:00,,1.0,2.5,30
重庆,李子坝轻轨站,B0IAL19QWL,网红轻轨穿楼奇观，重庆独特的立体交通景观。,城市地标,,29.553340,106.538016,4.5,全天开放,全天开放,,0.0,1.5,0
重庆,重庆美术馆,B0FFFYS1T2,重庆市级美术馆，展示当代艺术作品，位于解放碑核心商圈。,艺术展览,,29.560017,106.576909,4.7,09:00,17:00,周一,1.0,2.5,0
重庆,山城步道·建兴坡大梯道,B0FFFE4P2C,重庆特色山城步道，体验爬坡上坎的山城生活，城市徒步,休闲体验,,29.551340,106.548454,4.2,00:00,24:00,,0.5,2.0,0
重庆,重庆中国三峡博物馆,B001709RVF,重庆历史文化宝库，三峡文物精品荟萃，了解重庆深厚历史,历史文化,,29.562014,106.550513,4.8,09:00,17:00,周一,1.5,3.0,0
重庆,重庆十八梯传统风貌区,B0G1XDI8P4,重庆最具代表性的山城街区，展现老重庆市井生活和建筑特色。,历史文化,,29.551015,106.573042,4.8,全天开放,全天开放,,1.0,2.5,0
重庆,李子坝单轨穿楼观景平台,B0FFLH5QFT,网红打卡地，观看轻轨穿楼奇观，体验重庆魔幻现实主义,城市地标,,29.553629,106.537916,4.8,06:30,23:00,,0.0,1.5,0
重庆,白公馆旧址,B0FFK75W6R,革命历史遗迹，缅怀革命先烈，了解重庆抗战历史,历史文化,,29.576464,106.432065,4.7,09:00,16:30,,0.5,2.0,0
重庆,千厮门大桥,B0FFGBJ8U6,横跨嘉陵江的地标大桥，是观赏洪崖洞全景和江景的最佳观景点。,城市地标,,29.569264,106.576790,4.5,全天开放,全天开放,,0.0,1.5,0
重庆,中美合作所集中营旧址-渣滓洞监狱,B00170AODT,国民党关押共产党员和进步人士的监狱，红色革命教育重要遗址。,历史文化,,29.585922,106.432707,4.3,09:00,16:30,,0.5,2.0,0
重庆,重庆市人民大礼堂,B00170BPJJ,重庆地标建筑，仿古宫殿式建筑，新中国建筑艺术经典,历史文化,,29.561674,106.553277,4.7,08:00,18:00,,0.0,1.5,8
重庆,长嘉汇弹子石老街,B0FFHCL1T9,滨江历史街区，融合传统巴渝文化与现代商业的特色街区。,历史文化,,29.579709,106.588015,4.7,10:00,22:00,,1.0,2.5,0
重庆,重庆动物园,B001701F98,西南地区最大的动物园，大熊猫繁育基地，适合亲子游览。,休闲体验,,29.504023,106.505799,4.8,08:00,17:00,,1.5,3.0,25
重庆,磁器口古镇,B00170IFE4,千年古镇，传统巴渝文化，品尝特色小吃，感受老重庆风情,历史文化,,29.581184,106.449705,4.8,00:00,24:00,,2.0,3.5,0
